73,559257
56,377540
100,000000
100,000000
100,000000
91,727522
94,903894
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
88,453552
25,218512
10,624278
10,624278
10,624278
0,000000
0,000000
9,706039
24,755958
12,456892
12,456892
12,456892
0,000000
0,000000
10,556550
2,295424
13,117386
13,117386
13,117386
13,117386
2,210627
36,555821
57,598272
62,647570
62,647570
100,000000
41,804643
100,000000
100,000000
91,764811
77,340669
77,340669
77,340669
77,340669
71,898522
100,000000
83,771232
79,164508
79,164508
79,164508
35,863591
35,863591
100,000000
0,000000
0,000000
25,810049
25,810049
25,810049
96,657288
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
87,345568
76,317669
81,822171
81,822171
81,822171
79,001465
75,605120
30,524881
61,560783
41,209277
41,209277
34,040942
34,040942
64,681190
100,000000
0,000000
0,000000
0,000000
0,000000
0,000000
16,194756
0,000000
0,000000
0,000000
0,000000
0,000000
3,755657
20,389538
1,398887
0,000000
16,812294
16,812294
24,280231
30,987752
78,926291
87,196372
100,000000
100,000000
100,000000
100,000000
88,575217
69,978272
67,971650
72,698951
83,703385
83,703385
83,321348
86,451213
73,344491
55,649679
51,196303
44,481442
44,481442
69,146627
100,000000
100,000000
100,000000
88,349813
47,741517
47,741517
47,741517
100,000000
87,949691
100,000000
85,815039
100,000000
100,000000
100,000000
100,000000
87,618180
100,000000
100,000000
100,000000
100,000000
100,000000
95,154007
49,649839
46,434392
0,000000
0,000000
0,000000
0,000000
15,893131
16,880562
0,000000
0,000000
0,000000
10,498871
10,877824
15,572782
15,711391
30,959322
30,959322
30,959322
30,959322
30,959322
76,277482
100,000000
100,000000
79,138045
63,182028
63,182028
63,182028
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
77,249878
62,713229
80,847137
66,967483
66,967483
53,394173
88,091390
72,052240
62,793595
100,000000
47,032614
47,032614
47,032614
91,335217
45,674779
1,313795
0,000000
42,509282
42,509282
42,509282
81,512259
60,805341
83,397777
100,000000
74,632668
74,632668
74,632668
43,007370
20,446785
54,456650
48,865912
94,783901
94,783901
94,783901
94,783901
37,315042
0,000000
0,000000
58,925678
58,925678
58,925678
59,610153
28,982124
60,148991
94,432073
90,819599
90,819599
90,819599
28,343698
21,349550
42,843148
14,437446
52,586559
52,586559
52,586559
70,031024
0,000000
0,000000
0,000000
2,464448
2,464448
2,900801
5,579758
0,527597
44,472752
86,508966
52,593349
52,593349
52,593349
79,468752
66,434697
35,604840
90,276784
100,000000
100,000000
100,000000
100,000000
100,000000
87,544068
87,946809
100,000000
100,000000
100,000000
97,978987
100,000000
88,877888
44,990667
29,524145
29,524145
5,106031
0,000000
38,656132
31,532159
36,877099
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
99,332921
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
56,100990
100,000000
100,000000
100,000000
100,000000
100,000000
100,000000
98,024258
93,576503
100,000000
100,000000
100,000000
100,000000
99,517738
100,000000
100,000000
100,000000
100,000000
100,000000
76,404792
0,000000
0,000000
0,000000
3,871416
3,871416
3,871416
15,514144
0,000000
0,000000
0,000000
0,000000
0,000000
0,000000
0,000000
0,000000
0,734912
0,000000
26,918330
26,918330
26,918330
45,557262
64,513752
67,941781
43,174702
43,960261
43,960261
43,960261
38,460799
49,282010
32,364752
0,000000
0,000000
17,898562
17,898562
19,914416
13,921166
29,807678
29,807678
29,807678
29,807678
29,807678
0,000000
0,000000
21,965938
35,123506
65,571226
65,571226
65,571226
64,936427
80,034922
48,786196
48,978106
54,562283
54,562283
68,173095
82,588637
100,000000
80,894166
100,000000
92,668498
92,668498
92,668498
27,925712
0,000000
34,406088
1,508995
0,000000
0,000000
0,000000
0,000000
0,000000
29,799684
30,742022
21,045031
21,045031
31,772578
59,581197
76,285885
90,295213
100,000000
100,000000
100,000000
100,000000
60,429168
0,000000
0,000000
8,029935
0,000000
0,000000
0,000000
